"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
-3550000,2110000,-3640000,-1160000,910000,-1800000,-210000,-7090000,-4530000,3870000,-1020000,-2090000,-2250000,-410000,680000,1010000,-3270000,-1960000,8280000,-2070000,2900000,8e+05,1660000,-2130000,-2330000,-80000,3740000,1100000,430000,490000
-16350000,5100000,-1.1e+07,-10600000,-3e+05,-2600000,-780000,-17500000,-13700000,10200000,1700000,-16440000,-5200000,3100000,-2150000,3190000,-5100000,-13600000,29100000,-3360000,7600000,6820000,1300000,9e+05,-6700000,4600000,14840000,2.1e+07,-2300000,4770000
-4917000,1.3e+07,-24410000,-6940000,-580000,23080000,-93000,-4510000,-2400000,7500000,-2210000,-2800000,-1840000,510000,945000,517000,-12700000,-2190000,23240000,-530000,23200000,944000,10000,-7410000,-3700000,9e+05,1690000,2530000,130000,-340000
-24000,-71000,-107000,-34000,-36000,60000,-20000,-13000,110000,17000,-43000,-81000,-48000,14000,26000,91000,96000,52000,-12000,36000,-36000,-24000,42000,-69000,-64000,-66000,53000,27000,-45000,-24000
-1580000,1520000,-2160000,-442000,1470000,-440000,-10000,-1692000,-1330000,-330000,310000,-974000,-470000,340000,-233000,340000,-1590000,-1236000,2192000,-1510000,80000,218000,1202000,2540000,-350000,-4e+05,2034000,250000,-306000,192000
-15090000,13500000,-6600000,-2400000,-1600000,1800000,650000,-13700000,-19200000,22800000,3100000,-9900000,-4e+05,4700000,3820000,5890000,3e+05,-11300000,19300000,2600000,1.4e+07,3250000,-4e+05,7e+05,9200000,-1800000,8100000,3400000,-6400000,-1150000
-3096000,-1120000,-830000,-892000,4000,-2190000,-890000,-854000,-4630000,680000,-704000,-409000,-845000,1300000,103000,646000,6620000,-998000,1562000,-122000,1350000,-896000,-181000,-310000,780000,894000,447000,875000,-1340000,396000
-3420000,-128000,-12260000,-49900,-580000,1640000,830000,-62130,890000,17300000,-77900,-165800,-502000,92000,-69100,290000,-216000,470000,179200,-1425470,1970000,1360000,120230,7130000,-17670000,1855600,161800,159000,25000,747100
-2027000,930000,-1310000,-630000,193000,-480000,-62000,-1400000,-850000,950000,-740000,-1461000,-820000,59000,108000,737000,50000,-190000,1070000,-238000,-330000,178000,830000,220000,-570000,710000,601000,7270000,118000,-157000
33000,2902000,-150000,-1105500,59000,1590000,142700,1198000,1431000,32000,-115640,-158700,-79600,-112400,-14300,53000,-3489000,-54300,190500,-223300,-2591000,152000,-1468000,-2061000,128000,33440,309700,149600,52300,-5900
346000,2360000,-9830000,-1690000,1283000,-8370000,6e+05,1810000,1350000,1650000,-1300000,-467000,343000,640000,-161000,6462000,22300000,-1470000,14220000,6800000,1760000,2210000,-2254000,14920000,22600000,1720000,3267000,18029000,6690000,5290000
-63900000,18300000,2.4e+07,-11600000,-3700000,-72800000,-19300000,-24600000,-3500000,31200000,26500000,-34700000,57300000,4e+06,-6500000,15300000,0,-59700000,32900000,7900000,3800000,4300000,16100000,-3600000,-1.7e+07,-16100000,12200000,3.7e+07,-9300000,3500000
-2398000,650000,-16170000,-940000,1710000,4060000,2500000,-1080000,1340000,2750000,-1890000,-1079000,-920000,-60000,28000,7018000,32920000,-1410000,11270000,6780000,3420000,4e+06,-70000,85460000,38440000,6630000,2589000,11350000,16400000,5943000
-5440000,2830000,-1370000,-2100000,630000,50000,-238000,-3450000,-2450000,1080000,-1260000,-2110000,-2010000,580000,-314000,550000,-1910000,-2450000,5350000,-1440000,270000,387000,9e+05,-1490000,-1620000,1290000,2230000,6750000,-120000,374000
-1290000,280000,-1844000,324000,1250000,-590000,-112900,-2054000,-650000,220000,274000,-340000,-20000,-124000,-542000,149000,-476000,-26000,1079000,-1165000,-1117900,21900,1274000,890000,-450000,189000,2556000,850000,331000,16000
153100,191000,-60100,-80,9080,5e+06,-750,8400,-78000,-190510,-850000,-48750,-795500,1490,-5930,-90000,484000,10800,118690,-14540,-5067800,483510,-11220,-207200,4546510,1770000,879350,-1000,311090,825000
-6300000,1550000,6700000,8470000,840000,270000,-1627000,-10230000,-37460000,-30200000,-15970000,-838000,-8e+05,3880000,230000,510000,3e+05,-7080000,-8010000,-1211000,-1490000,5197000,-8093000,-1250000,14200000,1560000,2238000,3130000,17310000,-252000
0,-26800,0,-2100,0,0,0,0,446000,0,0,0,11800,0,0,8620,0,0,0,0,0,0,0,-446000,0,0,0,-11800,0,0
-253400,-5746000,-1329000,-4600,343200,-1243700,-3300,-332000,11640000,-240600,-57000,36600,-33000,19000,-367350,749400,-178600,-259100,15700,-354980,558700,-6340,35500,-14916100,327600,-82800,72900,-165800,737000,3680
-486200,160000,554000,-334000,246000,-831000,138000,-775000,-540000,80000,63000,-220000,-383000,167000,-16000,425200,-150000,-564000,801000,-410000,522000,113000,318000,-360000,130000,97000,437000,-65000,-219000,106000
-1414000,1840000,-1490000,-980000,610000,1430000,75000,-1470000,-3880000,2900000,-1160000,-730000,-2100000,290000,477000,734000,-1270000,-570000,5990000,-70000,8800000,808000,-6e+05,-3010000,-1270000,-110000,1690000,1410000,360000,50000
-698120,438000,155000,13000,1287000,-817000,8200,-692000,2095000,766000,-17000,198000,-390000,-274000,46400,912120,1739000,1467000,289000,-1335000,158000,89400,-82000,-2396000,1180000,101000,20000,138000,-27000,55000
35690,233000,1680,9820,142610,-110000,347800,5070,-12970,-229410,-630,-4260,-7230,-23400,0,-36290,366000,-2720,1600,-146000,3740,-259000,-3170,97170,130,550,4760,181720,7520,0
-741000,1015000,2020000,20,543000,1031000,16600,-995000,7060000,11140000,-542800,1400,-518000,391300,334400,254000,-981000,-3072000,1254430,-1152900,-990000,128100,390000,-4630000,-8900000,465800,717000,144000,925000,-195000
-941000,-58000,507000,928000,505000,-812000,86000,-506000,-1301000,2650000,-1210000,-1140000,160000,-121000,580300,864000,-665000,-884000,40000,181000,-184000,-99000,129000,551000,-550000,460000,465000,2580000,308000,-301000
-82800,-76000,-433000,-1e+05,-257400,470200,-95300,28000,1594000,695000,195000,-317700,413000,-188000,49700,61800,48000,-248000,-25000,544400,-450900,900,-33000,-1282000,-683000,-81000,-6400,-62000,-13000,-54600
-1690300,-10000,-1870000,-675000,250000,-1241000,-318000,-854000,-160000,-390000,280000,-741000,170000,61000,170000,440300,470000,-748000,866000,-334000,501000,367000,415000,80000,8e+05,120000,891000,550000,-142000,-53000
510000,-670000,-712000,254400,93000,-664400,-533000,-278500,-4022000,222400,132400,-229600,-3839100,-190000,-127000,-4e+05,-1009300,-253000,887000,-214000,413400,692000,92500,862000,9000,-34000,728600,1639100,6189000,-25000
-9e+07,6.2e+07,18200000,-2e+06,-1.3e+07,-9e+07,-8300000,5.4e+07,-6.4e+07,-2.2e+07,-4.9e+07,-1.1e+07,-5e+07,-38300000,1.45e+08,2e+07,-5e+06,-35600000,9.5e+07,-6.3e+07,1.1e+08,23100000,-3e+07,-9.2e+07,5.7e+07,6.5e+07,6.9e+07,-6e+07,36300000,-7.6e+07
490800,428000,-89000,2104100,60830,-1101800,22400,-196350,-647000,-60700,639700,-18240,900,620,-590,-478500,-584390,-118730,-2032200,-63180,40000,80900,12650,-2000,1600,-528000,1473540,37100,6080,-1034
863000,-1040000,1910500,30000,-850000,-1334700,150000,-810000,219000,-777000,982000,-4140000,220000,-1254000,-230000,-1681000,-1682000,-580000,-1434000,-306000,109700,-1397000,370000,-437400,-706400,-787000,-1054000,-1032000,16000,-1036000
-19680000,-2800000,-3900000,-4790000,4480000,-5600000,166000,-2800000,-18640000,690000,-2530000,-1606000,-970000,1300000,952000,1210000,-9100000,-10422000,5190000,-2010000,-3610000,-53000,3060000,-6990000,1550000,3370000,1236000,-270000,-3700000,-1405000
-131000,62200,34000,-35800,-358000,-39600,1700,220000,-386000,-230000,-361000,-46800,-2243000,277790,195000,6200,-88090,-38000,96500,-284000,8900,-9300,135000,-69500,-349000,522000,81900,-18000,-266000,-61000
-2800000,25100000,-15100000,-2600000,10620000,9800000,1470000,-13700000,-9e+06,14900000,-4660000,-3810000,-4100000,1250000,2920000,-1880000,-17900000,-9990000,41700000,-11860000,48300000,7030000,-1e+05,-1.5e+07,4e+05,13160000,15710000,8900000,6680000,-930000
-5670000,8e+05,-7e+05,1260000,1410000,4700000,-510000,-8240000,-1420000,-5e+05,250000,4320000,-4260000,1800000,-210000,4900000,3e+05,-940000,5060000,-1600000,-10340000,1430000,1340000,65690000,7e+06,-690000,28200000,1360000,-560000,130000
-6060,10080,-10040,-25400,-26930,-18970,5050,32100,1210,-930,-10,-950,-2540,-7310,-2010,19540,33300,-2050,9800,1167630,17770,-2470,-27980,29490,165380,-1200,40900,80800,56940,11270
-13040,-2550,-2306100,180,2620,14600,0,-2500,-3480,-1840,-4730,-16680,-2980,-14000,480,-610,-2430,-1100,-1920,-3000,-28290,1960,5350,-1310,2360,0,890,0,1620,160
23710,-1386710,-3040,-8600,353700,4984760,1730,440400,-132000,-41400,-47300,-32160,-95600,-3280,48580,49000,1530,17450,7000,-385840,-4984830,2390,-216000,-965100,10800,-4700,860460,-8500,1660,-50880
-3300000,-1900000,2460000,-210000,4670000,-3820000,550000,-4250000,-90000,5350000,-1340000,-1e+05,-13120000,1390000,480000,-650000,-8370000,-2850000,3070000,-4120000,-30000,610000,1590000,990000,-5450000,0,-1140000,6900000,950000,-1050000
0,0,-30,0,0,-632000,0,0,0,0,0,0,-2130,0,0,0,0,6640,0,0,0,0,1630,1770,0,1690,0,-1380,0,0
-4390000,-250000,250000,-1710000,-3860000,-4950000,1120000,-4210000,1500000,5e+06,-2230000,-2090000,-2e+05,-430000,-570000,2280000,-2930000,-5350000,1560000,2760000,3150000,-670000,650000,3e+05,-13100000,7e+05,1280000,8400000,160000,1950000
-990,580,-1376000,210500,4220,11170,700,-690,330,-20260,-2970,-370,-2760,-5870,-1430,66700,-4870,-12020,-122300,3610,-4020,-90,26890,70,42560,-160,5560,2070,1000,151920
-85600000,41400000,18900000,-34900000,32100000,-26800000,-5100000,-41300000,-4.7e+07,4.7e+07,-42500000,-17800000,-50100000,4e+06,-4e+05,19500000,-48100000,-11600000,7.4e+07,-42600000,12500000,14800000,9600000,-2e+07,-2.3e+07,2.1e+07,1.2e+07,101100000,1.1e+07,2e+06
-1720000,-120000,-1190000,-810000,-207000,-220000,-297000,-1880000,-1680000,850000,3e+05,-1261000,-160000,15000,-55000,389000,-90000,-1120000,1810000,4000,-250000,486000,6e+05,820000,150000,60000,1001000,1880000,-79000,-21000
-36000,-64000,-32000,6000,-55000,45000,109000,123500,-46000,-207200,1000,81000,-2000,-15000,-95000,2000,-145900,36000,8000,52000,-53000,-62000,64000,-24000,220200,32000,-61000,-27000,38000,47000
-1251000,330000,-1100000,4570000,-17000,-80000,-119000,-1516000,-1710000,1210000,-2e+05,-1128000,-510000,506000,-134000,196000,-270000,-640000,-3630000,-207000,-190000,142000,396000,-260000,-1270000,40000,808000,1910000,-52000,85000
-750,2910,2780,140,3560,30900,0,-790,-3280,-1600,-1930,1930,-4950,-7750,-2060,27810,-3590,-660,4060,60640,-41660,2190,900,4550,114200,0,158070,657000,19550,2230
-1345000,2514000,-3814000,-769300,-605000,3420000,1653000,42190,2835400,617200,2152000,-539370,1960,-30000,688000,-42900,-2345000,-79000,1092300,-821910,-4830000,130000,-42870,-2691000,-687100,-9e+05,13470,326250,60000,-236000
45600,252000,375000,16500,8900,-359100,1300,-90300,-416000,100800,-59000,-2000,50000,-35000,1070,-65700,-370000,-407000,67900,-24400,201100,-14300,146300,-71100,-31000,78000,65000,-14300,-67800,12330
65000,3580000,-395000,137900,1117000,-1275000,55100,-373000,310000,175800,-213200,-197100,-436900,398000,-178400,1448000,-5e+06,976000,1196000,-1738000,481000,580700,113000,-1435000,532000,95200,765100,82900,435000,-45000
-50,28510,12230,1630,-21970,15300,-300,0,2120,-3110,0,-1310,0,-2370,2200,3248030,17069600,-4100,552370,87670,379700,29740,3340,2207880,3545880,15500,5030,34100,1800000,-50
-1560,1880,-330,0,1680,-470,-1330,0,-116350,0,-349600,-1330,170,0,0,0,-240,-1680,3570,-1680,-1970,0,0,-1650,0,-8580,0,0,2420,0
7139000,-2070000,-26070000,-10550000,-27100000,-780000,-4006000,-17500000,63800000,24570000,-10900000,-3e+06,-9900000,-67360000,6800000,5200000,1210000,-1742000,17750000,-5690000,-1540000,6166000,-10060000,-93200000,-3e+07,-11099000,4400000,-33370000,1530000,-8300000
1164000,-140600,1e+07,-45100,-13904000,4909000,770000,87400,4678000,157000,-42900,164200,233500,230000,1258600,-1233000,45500,-22282000,2034100,-85000,-3500000,6310000,-64600,48800000,-685000,1606900,-179400,-237700,-513000,-987000
6e+05,-306000,-1170000,890000,-1530000,2150000,4020000,-1970000,30000,-250000,-2770000,-360000,8450000,-730000,-6e+05,-490000,1261000,2030000,-3190000,2110000,-590000,-5510000,1590000,1690000,-1370000,680000,-2510000,-5700000,1600000,1510000
-84900,-698000,-1075000,-67100,34000,42500,768000,-1061700,-156000,359000,83300,-96600,-77000,2e+05,7000,155900,-46000,905000,745900,-393000,570800,-76000,991700,372000,-359000,-60400,54500,101000,-1e+05,97000
-270000,-2890000,-800,237000,3710000,24600,12610000,-2760,-790,-125100,98800,-1890,-4778000,-127000,687000,1230000,2700000,-26470,-234600,-3760000,45600,3100000,1870,4927830,8400,-118900,20,16788000,129000,-685030
19000,-172000,295000,-129000,-282000,112000,-230000,-146000,21000,24000,358000,-43000,306000,-210000,318000,114000,38000,187000,-368000,221000,-83000,295000,-62000,313000,99000,-317000,102000,-458000,135000,119000
-519000,2238000,-1136000,-4000,1006000,-1083000,127000,-943000,-2672000,873000,-311900,-43760,-362000,-519000,-228900,1163000,-2241000,120000,1172000,-879000,416000,64000,137000,-247000,2880000,-23900,735960,907000,185000,-25000
-2600,179000,-1142000,-183000,-11000,706000,120700,-419000,1007000,283000,299000,-159700,-15000,73000,-12000,163500,-77000,-121000,345000,143000,-124000,32000,20000,170000,-220000,-118000,120700,256000,-60000,-91900
-4270,1860,-5250,-820,10750,-2320,0,-90,-26500,21220,320,-2860,-2090,1520,-1900,5120,-1170,-6150,6920,-10620,630,1620,-1220,483300,-12300,100,1360,11980,-900,1760
105300,157000,-201100,11100,233700,-622000,0,-26800,-32100,-20800,-8600,-790,-22280,-69900,-89800,-44000,-126900,115100,82000,-252170,-349200,48900,25500,-64300,61600,1600,25390,6780,77100,24000
330,-340,-32250,140,1790,-110,-1060,0,-626750,-190,-3830,-980,-3020,-610,210,-170,240,-360,2090,-1820,-1910,1960,7500,17950,1740,2030,17560,2340,14030,-2050
-921000,440000,-780000,-812000,265000,-698000,-233400,-221000,-40000,1030000,-528000,-764000,-6e+05,119000,27000,1e+05,1190000,-944000,1712000,-45000,798000,174400,-72000,-620000,-880000,783000,615000,990000,204000,16000
615000,684000,-1062000,-436000,292200,65000,19000,-497500,-370000,534000,191000,-454000,1043000,179000,-136600,-155000,-401000,281000,518000,-197000,261000,136000,539500,8000,-155000,-233000,2272000,-878000,87000,94600
-55200000,1700000,-113700000,-14100000,4600000,26300000,-7e+06,-40100000,-43200000,11200000,5700000,-3.1e+07,-2300000,3200000,-4300000,10100000,4400000,-2.3e+07,40200000,-5e+06,6600000,4400000,13300000,2.5e+07,16900000,10700000,13200000,23600000,-3100000,5900000
-231300000,-1.5e+07,-354800000,5.8e+07,-29700000,168900000,-7300000,-26700000,61700000,-2e+07,-31900000,16800000,-2.3e+07,-2580000,-17600000,2100000,7600000,-33200000,-100100000,88900000,-9e+07,-4240000,53100000,-69900000,-6.6e+07,-3800000,-39200000,178200000,-4720000,4900000
-17320000,8200000,-33800000,-6200000,2600000,3e+06,0,-9600000,-5100000,2.1e+07,-4e+05,-13900000,-8100000,2100000,2230000,6120000,-1.4e+07,-7600000,1.4e+07,-5900000,-4200000,2780000,2200000,-4400000,-9200000,1e+06,13800000,7100000,2500000,-2970000
-726100,1560,-81600,31000,-12990,71000,-6860,-3550,-4200,113500,-14620,-2800,-41700,3460,-2050,-6480,-390,-6510,-9900,119890,-95900,-30,-6830,-3280,-65600,26520,-1080,65500,-3020,-180
-1049000,1325000,-223000,-52300,1255000,-167000,-36000,-311400,-2332000,62000,-113000,-98200,-158000,-56000,-343500,110000,-999000,-182000,734300,-1268000,-64000,15000,855400,742000,-96000,492000,558200,926000,-68000,51600
-2405000,647000,702800,374000,1041000,1050000,-24500,-34000,-280000,496000,-220000,-144100,-248000,-1114000,-236700,165000,240000,-221000,-35000,-867000,-1916000,52500,-11000,-40000,86000,279000,338100,1422000,462000,-26200
55000,9000,112000,1000,-52000,27000,-374000,28000,-93000,-20000,-308000,-74000,-62000,-10000,-80000,140000,-2000,-40000,67000,282000,191000,30000,13000,72000,0,168000,44000,-77000,0,-60000
5175000,5053000,581800,-7990,-337400,-84200,-13310,-2650,-6594600,-104500,2967000,-30780,-41440,-251070,-18500,-4060000,-5106300,-612600,2016390,-95040,-50400,153010,18070,53800,40700,-3097400,1204480,25140,2297070,-15800
-1790000,703000,-10410000,-1111000,639000,7038000,-626000,-5513000,-1549000,-1301000,1487000,-1214500,630000,-382000,2413800,-290000,-404000,-1097500,1271000,-981500,-6250000,3146000,-252000,-727400,1081000,-1675000,140500,-1460000,20000,-230000
-1.143e+09,3.3e+07,8.5e+07,-1.88e+08,3.2e+07,7.45e+08,5.4e+07,-2.88e+08,5.25e+08,-4e+07,-3.82e+08,1.19e+08,-6.01e+08,6.1e+07,-2.29e+08,1.82e+08,-2.9e+07,-3.24e+08,3.03e+08,3.09e+08,-5.88e+08,-1e+07,5.96e+08,-7.3e+08,-5.6e+08,-1.54e+08,-2.41e+08,1.021e+09,-3e+06,3.3e+07
-2650000,7950000,-1590000,-270000,910000,-3250000,-515000,-3347000,-5210000,810000,330000,320000,-5440000,40000,-4080000,1320000,-9890000,1040000,2180000,-4322000,950000,153000,7447000,-1380000,-1150000,2670000,3880000,-480000,2910000,290000
-291400,15000,120000,-68400,-60800,-94000,6500,-191000,-312000,483000,180400,-196700,36000,-26000,-15700,34700,-39000,-287500,161400,-2500,70000,-7800,10000,-61000,-58000,-49000,70900,-17000,-13400,25800
-2928900,330000,-1098000,-138000,2018000,-2276000,-5000,-285000,-150000,260000,-441000,-336000,-1720000,-62000,46100,104900,-820000,-807000,764000,-1918000,236000,-700,1612000,-426000,-358000,2559000,445000,1850000,268000,-56100
-7620000,1270000,-8790000,-1560000,520000,-3290000,-1e+06,-6030000,-1270000,460000,2070000,-3020000,710000,860000,-1230000,1430000,-690000,-2020000,5750000,4e+05,2290000,850000,5070000,2770000,-2e+05,50000,4260000,5430000,340000,1320000
-12509000,-2410000,-2830000,20000,1760000,2990000,-187000,-1080000,-1300000,8400000,-240000,-3983000,1020000,160000,-544000,1079000,5620000,-260000,2560000,-820000,-4105000,208000,510000,3430000,-6710000,490000,2993000,7110000,1077000,225000
0,-248000,0,-1710,0,2000,0,0,2100000,1980,1850,-1680,1120,-1990,0,30900,1910,0,0,0,-320,0,0,-2100000,-1980,-1850,1870,-1120,2090,1730
-943600,-3241000,-513000,-18000,126500,-113000,-5000,36600,-393000,68800,-46100,-1011600,-547500,-147000,38600,132600,1161000,-176600,169000,-110700,-21000,59000,12400,180000,-1000,1050100,72600,90500,-43200,-23500
-32000,-115000,59000,86000,-139000,9000,-488000,-9000,-2000,-120000,-317000,305000,92000,146000,36000,21000,52000,-216000,-217000,214000,113000,-206000,-106000,43000,145000,-18000,-137000,-92000,-38000,-81000
-216100000,3.7e+07,5.7e+07,-9300000,1.13e+08,-69500000,-4e+06,-117200000,-1.98e+08,5.8e+07,-101700000,-32600000,-74400000,32100000,3400000,78100000,-7.7e+07,-38400000,95700000,-160200000,24200000,17900000,-29900000,-9.3e+07,-1.5e+07,85700000,57900000,133400000,21800000,64800000
-295000,290000,-580000,-530000,626000,860000,780000,-1550000,328000,780000,320000,-589000,520000,986000,-470000,575000,-20000,1240000,-1260000,210000,-1475000,-790000,2730000,1090000,-910000,230000,-252000,120000,-330000,-186000
2400000,-3e+05,1500000,1300000,-2e+06,3e+05,5e+05,-11300000,-3e+05,3e+05,-3e+05,-1e+05,3e+05,-2600000,2700000,-1500000,-7e+05,-3e+05,-3100000,7e+05,1300000,-5e+05,3e+05,-6e+05,-4e+05,-2e+05,-1600000,-1100000,0,-1500000
-3470400,140000,1770000,-54000,1710000,-2970000,-23000,-1501000,-1780000,6800000,-530000,-1259000,515000,-39600,-104100,54400,-1032000,-760000,634000,-2030000,-2095700,-60300,731000,1080000,-5140000,2440000,1089000,6590000,157700,39100
-63960,4120,-2686800,-174000,246500,-148000,-5060,49590,-2120500,630000,-155100,-118950,-1600300,84500,4500,5560,-340,-8000,1690000,-247400,20000,18570,-51830,723500,380000,-10700,240,200300,-111810,-18800
27200,-74300,-300,-98000,213000,45000,-774000,-40000,-2000,-48000,15900,-311000,93400,-34000,35000,79100,290300,664100,246000,-327000,-109700,17000,139000,335000,-9000,-1800,-168900,335000,7000,181000
-20710000,6700000,7200000,-10000,33620000,-6500000,7430000,-14300000,-28590000,9020000,-12670000,-2230000,-12750000,1580000,-1590000,6610000,-6600000,-4e+05,12580000,-34170000,220000,-1130000,3300000,2220000,-7230000,7170000,13030000,12250000,7e+05,12220000
-4280000,-320000,-4940000,-520000,3430000,7290000,-330000,-2560000,-2540000,2360000,170000,-1960000,-3100000,-250000,-1780000,-1e+06,-1180000,-1040000,3610000,-4520000,-11200000,8e+05,3130000,470000,-2940000,25750000,2780000,8600000,290000,-592000
-264300,33000,6121000,-23100,-2628000,33000,281000,-181000,31200,280000,-25100,-54400,-151000,61400,100400,44200,-76300,-6650500,141100,273000,240000,-302000,23000,2534000,-405100,84500,610500,155000,-25900,-58400
-5030000,1840000,-280000,-1244000,-1070000,-890000,-124000,-520000,-13800000,880000,6580000,-766000,-7660000,310000,-691000,-3190000,-1850000,-440000,1394000,-813000,40000,316000,640000,-140000,-3e+05,-7880000,1546000,150000,2200000,149000
-1760000,15180000,-15490000,-7060000,5110000,3010000,21500000,17330000,17720000,5010000,-450000,-2940000,-2710000,8400000,-3130000,51240000,200200000,-3320000,209160000,13890000,29400000,49800000,-15070000,25800000,162200000,5420000,20530000,147850000,30300000,34780000
-470000,-70000,460000,-80000,340000,-370000,-790000,150000,370000,-120000,-420000,-150000,80000,430000,-550000,490000,210000,70000,90000,320000,490000,270000,40000,90000,-350000,40000,180000,60000,-540000,-290000
-501000,15190000,-4356000,-467000,490000,3911000,-980000,-678000,2110000,4e+05,-59000,-77000,596000,1043000,-441000,279000,-14610000,-180600,1067000,-2436000,-2250000,5190000,608000,-1930000,70000,289000,399000,1410000,-370000,29000
680000,437000,-191100,643000,-182000,50000,-798000,376000,-574200,-443000,-29000,-497900,448200,-2368000,-285000,-223000,-440000,49100,-584000,-194100,-129100,413000,63000,63200,64000,21000,675900,-312000,508000,-273000
-21300000,25700000,-4e+05,-17100000,11030000,-15600000,-530000,-1350000,-11400000,9e+05,-5730000,-3420000,-24200000,3290000,-50000,6700000,-38400000,-5550000,25100000,-15520000,9100000,4660000,3470000,-6830000,-2100000,3730000,6810000,13400000,-1350000,-490000
-790000,1331000,-2328000,-260000,827000,-220000,-172000,-358000,506000,450000,112000,-447000,848000,177000,-538000,3e+05,-1126000,778000,20000,-838000,790000,-365000,638000,620000,-6e+05,-187000,67000,210000,-115000,243000
-15730,41000,-500600,-8300,12140,10400,10140,-48000,-145400,65300,31600,-33460,39470,4640,850,11130,-181100,-54300,69000,14900,43000,76200,-600,-50000,-50900,10900,6860,-8100,0,9860
-3150000,520000,1650000,80000,5148000,1770000,-156000,-1130000,-3930000,4120000,240000,-1614000,70000,20000,-915000,-795000,-710000,-1080000,1868000,-4510000,-5200000,-108000,1990000,1240000,-1960000,8930000,4314000,3360000,190000,191000
3180000,9350000,-5890000,28180000,4221000,-30140000,970000,-6057100,-17860000,-2360000,8900000,-3990000,-4180000,748000,260000,-2790000,-14380000,-1350000,-23300000,-4563000,1840000,1770000,2747100,2960000,2350000,-7210000,28380000,3690000,960000,-260000
-2052000,51470,-7468150,0,134000,661900,-620,-54750,25330,-69450,-119000,0,-10400,1400,-1040,-709000,-53900,6940,0,-131670,52198000,-1740,2927550,14800,7480,2220,5310,46800,-1400,1600
-116200,-152000,-170000,-9670,-20100,-64300,870,-29800,601000,32500,103980,-18550,13000,1520,-9290,-5890,-25400,-32073,35770,-6200,55300,11220,5700,-779200,-2500,-86400,110350,-29000,-40,17890
109000,57000,-1000,1000,178000,-23000,16000,-96000,-13000,-164000,-16000,30000,-25000,220000,-187000,-12000,-88000,-193000,-5000,-18000,-16000,7000,107000,40000,32000,70000,-174000,9000,-77000,132000
-2412000,1960000,-2420000,-760000,330000,-790000,-310000,-1840000,-1740000,1630000,260000,-1402000,-830000,230000,-433000,302000,-1700000,-1140000,1210000,-180000,-390000,448000,750000,650000,-170000,-180000,1182000,1460000,-440000,441000
36000,-58000,36000,14000,-136900,57000,-69000,-8000,-2000,1000,-45000,6000,57000,63000,-54000,-67000,-8000,-22000,-7000,107900,-5000,69000,4000,-73000,-13000,1000,-14000,-99000,7000,50000
44000,-23000,-81000,85700,-106000,-76000,120000,-61000,-53000,-31000,-145000,-41000,27000,-74000,68000,127000,-55000,-169700,80000,83000,78000,-9000,32000,109000,-2000,197000,75000,-46000,-7000,-72000
4270000,2534000,490000,-34100,4e+05,-26989000,923000,-3714800,260000,-19000,95000,-231260,-7e+05,-398000,1862900,-5910000,-2947400,1090000,733100,-2349200,989000,560000,173800,5070000,-79000,75000,487260,-118000,35000,-1814300
-3630000,-1e+06,1170000,-350000,2020000,2030000,-7e+05,-2650000,-2010000,1610000,3990000,-1560000,-1800000,820000,-3240000,-3230000,-9e+05,-640000,1660000,-1710000,-4240000,-1e+05,4960000,990000,-1990000,-810000,5310000,1300000,-2130000,-3e+05
720000,-160000,380000,320000,-680000,190000,340000,190000,1e+05,-410000,60000,390000,2e+05,-240000,-140000,-390000,0,-130000,-660000,280000,-30000,-570000,80000,-80000,80000,1e+05,-610000,-530000,-40000,-130000
790000,-10000,-80000,1e+06,-1320000,4e+05,430000,220000,420000,-3e+05,20000,630000,510000,-660000,490000,-260000,-260000,-460000,-4e+05,-140000,80000,-710000,180000,1860000,80000,310000,-930000,-510000,380000,-260000
400,1105000,-3210000,-750000,752000,1597000,257000,1125000,1994000,694000,-477000,-352100,-3000,70000,109000,3088800,8450000,-558000,5317000,2255000,970000,850000,-854000,3950000,9230000,567000,1636100,6346000,2860000,2198000
-4080000,1060000,1120000,3468000,12150000,880000,-590000,-3430000,-2200000,-2610000,-2110000,-1260000,-3500000,988000,-5196000,-5766000,-710000,-1500000,510000,-11080000,-6150000,1550000,7640000,-5e+05,-4780000,10800000,8520000,5540000,2990000,-45000
-570100,-933000,-2510000,-76000,343000,748000,-161000,-228000,1568000,994000,354000,-983450,414000,43000,-110600,13000,553000,-2000,941000,61000,-858000,-70600,-241000,-680000,-370000,-40000,2070450,674000,-23000,70000
-10540000,20600000,-5e+06,-9800000,4500000,-6200000,-4990000,-30900000,-1.2e+07,19300000,-4100000,-15600000,-22700000,-3500000,-1210000,8440000,-3e+07,-2e+06,28200000,-13700000,17300000,5590000,11900000,-7700000,-5600000,6900000,14600000,11700000,8300000,1810000
-11377000,-1080000,-6920000,-740000,1910000,-2e+06,-369000,-4720000,-1610000,5400000,2140000,-1820000,-810000,-310000,-2298000,1707000,680000,-1280000,5560000,-1070000,-1780000,709000,4410000,6710000,-8250000,-550000,5180000,6500000,1470000,1678000
