"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
-71960,16400,14440,-2670,-45200,73440,0,-2360,-580000,45030,-14070,-4960,-64720,0,-4550,-3890,20300,-22900,95200,267300,35800,0,0,93000,-32500,7670,0,2890,0,22600
-52800,900,-1136000,-13000,-106000,382400,8600,-302000,-1321000,-1106000,-172100,700,1006500,-57300,-35600,164000,635700,1226000,464000,-53000,-3e+05,9300,-72700,701000,566000,1264100,12600,-866000,349300,44600
-30780000,20460000,-23750000,14800000,2.2e+07,7800000,19400000,31550000,29810000,25450000,9700000,8100000,-24540000,21160000,-4300000,25680000,9600000,27150000,-29800000,-5e+05,-23300000,1700000,-30900000,9e+05,-28450000,-40180000,-31880000,28840000,-20710000,-19820000
1666000,1310000,-2128000,1476000,2017000,-2720000,-104000,-268000,6e+05,-634000,3429000,-365000,601000,-46900,-291000,690000,-4544000,-63000,-630000,-2089000,240000,154000,18000,-9540000,314000,-2850000,4695000,-492000,24200,-41200
-4320000,-3e+05,-5890000,-4600000,-70000,-1320000,-4e+05,-12250000,-3950000,2900000,-2100000,-6910000,-6250000,-2330000,-660000,2600000,-3030000,2280000,9600000,-3450000,6920000,1860000,9250000,1980000,6300000,1200000,8810000,7250000,2150000,5e+05
-187600,-21100,-67100,-1100,1200,20360,-1720,-36600,-206000,-34600,144300,2200,-540540,-41400,-33530,42000,13100,104400,2400,13560,23400,2000,-51060,-38000,9700,-135200,73600,247540,427900,117530
-746000,-1242000,-6e+05,-346000,109000,-290000,-58000,-129000,-60000,620000,30000,-872000,-120000,174000,-166000,263000,932000,-630000,1068000,-245000,50000,238000,-440000,80000,-410000,270000,595000,710000,-204000,50000
-753000,-139000,-295000,-99000,123000,-435000,-19600,-564000,-297000,640000,-151000,-466000,-94000,-243000,58700,41000,103000,-148000,666000,-211000,215000,500,28000,-133000,-742000,16000,420000,459000,-294200,79800
-28500000,1e+06,-17600000,-4900000,9600000,-13700000,5400000,-18900000,-54100000,4e+05,-5400000,-9e+06,-10800000,3200000,-1600000,9e+06,-7800000,-15400000,21800000,-8800000,7600000,7100000,23400000,45900000,-6400000,-1700000,11700000,9900000,-3900000,5e+05
-19410000,5800000,-13200000,-3e+06,3700000,-2800000,-2810000,-2.9e+07,-8e+06,6600000,1100000,-13300000,1300000,3820000,-1270000,5710000,-2900000,-3400000,10900000,-4700000,1e+05,4310000,5e+06,2600000,-6e+05,1200000,8100000,1800000,-2e+06,1090000
-67100000,4.9e+07,1.06e+08,17800000,11300000,-4e+06,3e+05,-14500000,6e+06,39200000,2.9e+07,10300000,2e+06,22500000,-2100000,-9600000,-2.6e+07,-137800000,133700000,7e+06,1.7e+07,-4300000,-28800000,-105400000,-33400000,-2.4e+07,12400000,1.5e+07,-6500000,2.2e+07
30000,-54000,57000,53000,-8000,6000,-67000,-88000,-81000,-72000,-10000,-25000,74000,-62000,-9000,82000,-39000,-110000,-4000,80000,48000,-40000,28000,-7000,92000,19000,41000,-18000,152000,58000
-126600,-226000,-73000,-238000,427000,-221000,-33700,-331000,-58000,230000,-37300,-43300,-292000,40500,19600,-1100,89000,-125300,316000,-385000,372000,69700,206000,-409300,-312400,27600,96500,791000,63100,-74900
-13450000,-2800000,-26700000,1110000,3120000,5900000,-1249000,-39810000,-4700000,2600000,-1200000,-4670000,-1830000,-120000,-5590000,1830000,-1810000,-5220000,1640000,-3650000,-12460000,829000,5310000,1900000,-7300000,1070000,10840000,18960000,2240000,290000
6e+05,-1e+05,5e+05,-3e+05,-5e+05,2e+05,-9e+05,-9e+05,-1e+05,-1e+05,1e+05,-4e+05,1e+05,-4e+05,-7e+05,-5e+05,-3e+05,-6e+05,4e+05,5e+05,2e+05,2e+05,6e+05,-3e+05,-9e+05,3e+05,8e+05,-9e+05,1e+06,3e+05
-1275000,-136000,-4629000,-462400,-163000,577000,50600,-813000,-280000,940000,719000,-495000,194000,-34000,-118200,6000,-158000,-664000,628400,-235400,180000,186000,521000,-236000,-170000,-430000,1062000,270000,92000,1644200
630000,740000,-370000,380000,-250000,250000,-130000,330000,-810000,430000,110000,260000,380000,370000,-360000,60000,-310000,450000,-110000,330000,-780000,-680000,-90000,820000,-220000,-410000,-440000,-170000,-330000,-60000
193500,-146600,457000,104400,-138600,-336900,134300,23500,-30000,143000,44600,81300,-20000,52900,-26000,-149000,98600,-582240,329000,74900,324900,-31000,47000,-48300,-91300,-48500,14000,-123000,64000,78000
-237000,464000,-1520000,-563000,269000,1196000,-189000,-110000,367000,840000,139000,-1205100,140000,246000,-151000,599000,1961000,-413000,2583000,-389000,380000,575000,-304000,1950000,3970000,12000,1495100,4200000,283000,690000
-3870,-1140,-60620,-630,22730,150870,-300,970,576000,-700,-410,-8620,16020,-29600,590,11930,1040,-1480,1830,-14800,-155000,-727,-860,-1108610,860,-480,-140,-11850,460,520
-1539900,900100,-5963600,-1531410,166180,140000,-633800,-320560,2930,-3170,-2700,-6700,-131200,-6430,-2420,153900,-105000,496600,721410,-54000,1250000,147800,1636560,1160920,2663870,-2490,525000,658200,150290,243690
-6060000,-1640000,-15120000,-2297000,2520000,340000,-2e+05,-9080000,4280000,1700000,-870000,3740000,190000,262000,-2620000,690000,190000,-1620000,3957000,-2880000,-6410000,-166000,2750000,-4200000,-3800000,770000,2340000,4500000,828000,530000
-10060000,6e+05,-5990000,-2480000,3160000,-750000,-1100000,-10700000,-2700000,12800000,-3e+05,-6250000,-4220000,2090000,-580000,2370000,-4e+05,-3360000,6720000,-3270000,-1570000,870000,550000,-1500000,-11200000,1640000,3760000,11420000,-890000,540000
5700000,4600000,5100000,1100000,-2700000,-7e+05,1700000,1900000,1e+05,-2e+06,1800000,2500000,1900000,-2800000,2e+05,-2600000,4e+05,-2e+06,-4700000,2800000,1200000,-2100000,-3500000,-4e+05,-1e+05,-5e+05,-2900000,-4100000,2600000,0
-668000,-255000,227000,-122000,7000,-67000,-185000,-287000,0,142000,106000,-403000,-40000,11000,-65000,305000,366000,-129000,335000,-22000,9000,223000,-82000,-2000,62000,10000,377000,206000,27000,219000
-171600,-115000,66060,-2080,-1650,-18600,1555,-69870,-35700,3800,-11430,-2440,14060,-2080,-530,-51900,-74000,-69690,2450,0,-6130,-2380,-4960,-14100,-12310,-350,1310,-14930,-3870,50
-83000,-28300,-71000,112170,25280,-3630,-14730,-2500,-19690,250,20460,-360,-237970,-72800,-353000,-101590,-12220,-129660,436000,-26410,348780,-700,3720,230,748870,-17570,1660,13970,259800,-270
16000,-18000,24200,-39000,-64000,-17000,30300,-15000,-104500,-98400,6000,-24000,-11000,-22000,-15000,-12000,-70600,54000,33000,22000,72000,54000,-10000,64500,43400,57000,18000,-110200,-11000,16000
-1.8e+07,1e+07,-99600000,0,5500000,65700000,32780000,-53500000,7e+06,7.2e+07,7.6e+07,-4.15e+08,-3900000,1.22e+08,34900000,3e+05,-1.6e+07,-9e+06,37600000,47300000,-62200000,-15200000,81100000,1.2e+07,-9.1e+07,-5.4e+07,2.27e+08,13600000,-9.4e+07,-41200000
40000,50000,-30000,40000,40000,60000,-170000,10000,130000,-50000,-230000,30000,20000,-50000,-60000,40000,-50000,60000,-30000,210000,80000,0,90000,120000,70000,1e+05,-160000,-60000,40000,10000
-725600,-518000,-223000,27000,642600,234000,-8120,-244000,43000,1350000,-227000,-637200,328000,25050,57400,193600,618000,6000,283000,-448000,-604000,41120,-48300,618000,-990000,188000,350200,1404000,123200,-42400
